DATE,DCOILWTICO_PC1
2013-02-14,-4.91547
2013-02-15,-7.08822
2013-02-18,.
2013-02-19,-8.67964
2013-02-20,-10.44438
2013-02-21,-13.63552
2013-02-22,-14.87339
2013-02-25,-14.51747
2013-02-26,-13.09691
2013-02-27,-13.29847
2013-02-28,-15.38249
2013-03-01,-14.97000
2013-03-04,-15.52952
2013-03-05,-13.20791
2013-03-06,-14.77958
2013-03-07,-14.17722
2013-03-08,-14.32961
2013-03-11,-13.41922
2013-03-12,-13.36457
2013-03-13,-12.34240
2013-03-14,-11.56003
2013-03-15,-12.65066
2013-03-18,-13.30373
2013-03-19,-12.52839
2013-03-20,-12.78188
2013-03-21,-11.92608
2013-03-22,-12.23339
2013-03-25,-11.69328
2013-03-26,-10.55721
2013-03-27,-8.41556
2013-03-28,-5.39936
2013-03-29,.
2013-04-01,-7.74347
2013-04-02,-6.52759
2013-04-03,-6.41190
2013-04-04,-9.71052
2013-04-05,.
2013-04-08,-8.87262
2013-04-09,-6.86313
2013-04-10,-7.86090
2013-04-11,-9.88523
2013-04-12,-11.28938
2013-04-15,-13.76798
2013-04-16,-14.87096
2013-04-17,-15.58695
2013-04-18,-14.21176
2013-04-19,-15.00290
2013-04-22,-13.50799
2013-04-23,-13.47236
2013-04-24,-12.19630
2013-04-25,-10.79763
2013-04-26,-11.66317
2013-04-29,-10.29650
2013-04-30,-12.19742
2013-05-01,-13.78622
2013-05-02,-8.63885
2013-05-03,-3.28967
2013-05-06,-2.10505
2013-05-07,-1.90466
2013-05-08,-0.57851
2013-05-09,-1.04016
2013-05-10,-0.22910
2013-05-13,0.01055
2013-05-14,-0.01064
2013-05-15,1.26105
2013-05-16,2.50729
2013-05-17,4.60059
2013-05-20,4.01858
2013-05-21,4.49475
2013-05-22,5.12304
2013-05-23,4.16113
2013-05-24,3.53045
2013-05-27,.
2013-05-28,4.29752
2013-05-29,6.08270
2013-05-30,8.14840
2013-05-31,10.53264
2013-06-03,11.26861
2013-06-04,10.73420
2013-06-05,10.12346
2013-06-06,11.71267
2013-06-07,14.30780
2013-06-10,16.03294
2013-06-11,14.57708
2013-06-12,16.25484
2013-06-13,15.30478
2013-06-14,16.42271
2013-06-17,17.53543
2013-06-18,17.22824
2013-06-19,21.19418
2013-06-20,21.79438
2013-06-21,18.25287
2013-06-24,20.70848
2013-06-25,20.05294
2013-06-26,18.93609
2013-06-27,24.80700
2013-06-28,13.31138
2013-07-01,16.98519
2013-07-02,13.57420
2013-07-03,.
2013-07-04,.
2013-07-05,22.18798
2013-07-08,19.89992
2013-07-09,23.28408
2013-07-10,23.90545
2013-07-11,21.79726
2013-07-12,21.45726
2013-07-15,20.12216
2013-07-16,18.87280
2013-07-17,18.36894
2013-07-18,16.33973
2013-07-19,17.95544
2013-07-22,21.46519
2013-07-23,21.35251
2013-07-24,18.70495
2013-07-25,17.97539
2013-07-26,16.23211
2013-07-29,16.49220
2013-07-30,17.09809
2013-07-31,18.10316
2013-08-01,23.74455
2013-08-02,17.00219
2013-08-05,15.50379
2013-08-06,12.42528
2013-08-07,11.79998
2013-08-08,10.77203
2013-08-09,14.09512
2013-08-12,14.47822
2013-08-13,14.32548
2013-08-14,13.29094
2013-08-15,12.30399
2013-08-16,12.06250
2013-08-19,11.56930
2013-08-20,8.64837
2013-08-21,7.26597
2013-08-22,9.45030
2013-08-23,11.17143
2013-08-26,10.82269
2013-08-27,13.30218
2013-08-28,15.36126
2013-08-29,14.69189
2013-08-30,11.93117
2013-09-02,.
2013-09-03,13.98154
2013-09-04,12.49869
2013-09-05,13.51747
2013-09-06,14.73913
2013-09-09,13.57232
2013-09-10,10.76986
2013-09-11,10.95650
2013-09-12,10.60020
2013-09-13,9.47039
2013-09-16,10.39271
2013-09-17,10.61417
2013-09-18,17.67968
2013-09-19,15.32451
2013-09-20,13.01813
2013-09-23,13.02356
2013-09-24,13.34139
2013-09-25,14.19039
2013-09-26,12.19937
2013-09-27,11.58603
2013-09-30,10.73129
2013-10-01,11.11232
2013-10-02,18.09729
2013-10-03,12.65133
2013-10-04,15.53355
2013-10-07,15.25215
2013-10-08,12.03203
2013-10-09,11.38755
2013-10-10,11.81256
2013-10-11,11.25994
2013-10-14,11.56359
2013-10-15,9.86206
2013-10-16,11.19079
2013-10-17,9.47826
2013-10-18,12.07778
2013-10-21,12.43488
2013-10-22,12.67167
2013-10-23,13.47933
2013-10-24,12.92207
2013-10-25,13.46692
2013-10-28,15.45837
2013-10-29,14.75773
2013-10-30,12.26951
2013-10-31,10.61459
2013-11-01,11.37809
2013-11-04,10.43905
2013-11-05,5.39382
2013-11-06,12.11834
2013-11-07,10.79111
2013-11-08,9.85130
2013-11-11,11.18513
2013-11-12,9.06535
2013-11-13,8.79286
2013-11-14,9.72499
2013-11-15,8.28908
2013-11-18,4.46940
2013-11-19,7.96900
2013-11-20,7.18879
2013-11-21,.
2013-11-22,8.64268
2013-11-25,7.53896
2013-11-26,7.60281
2013-11-27,6.91057
2013-11-28,.
2013-11-29,4.52903
2013-12-02,5.54741
2013-12-03,8.84825
2013-12-04,11.00046
2013-12-05,13.65391
2013-12-06,14.07841
2013-12-09,14.04745
2013-12-10,15.18276
2013-12-11,12.62305
2013-12-12,13.84237
2013-12-13,11.52688
2013-12-16,12.07473
2013-12-17,10.89641
2013-12-18,9.54091
2013-12-19,9.62567
2013-12-20,12.36961
2013-12-23,11.70008
2013-12-24,.
2013-12-25,.
2013-12-26,9.09691
2013-12-27,10.23605
2013-12-30,7.69901
2013-12-31,.
2014-01-01,.
2014-01-02,2.33409
2014-01-03,0.57990
2014-01-06,-0.08584
2014-01-07,0.10728
2014-01-08,-1.26773
2014-01-09,-2.61166
2014-01-10,-1.29274
2014-01-13,-2.99141
2014-01-14,-1.19022
2014-01-15,-0.53034
2014-01-16,-2.04210
2014-01-17,-1.72576
2014-01-20,.
2014-01-21,-1.64429
2014-01-22,1.35704
2014-01-23,1.97168
2014-01-24,1.58697
2014-01-27,-0.13549
2014-01-28,-0.13317
2014-01-29,-0.65319
2014-01-30,0.61444
2014-01-31,0.09235
2014-02-03,0.23906
2014-02-04,0.57923
2014-02-05,0.99544
2014-02-06,2.08681
2014-02-07,4.46139
2014-02-10,3.20586
2014-02-11,2.54411
2014-02-12,3.45254
2014-02-13,3.05242
2014-02-14,4.54403
2014-02-17,.
2014-02-18,6.05026
2014-02-19,8.99705
2014-02-20,11.21888
2014-02-21,10.10524
2014-02-24,11.24650
2014-02-25,10.33143
2014-02-26,10.86816
2014-02-27,11.57231
2014-02-28,13.41638
2014-03-03,16.87562
2014-03-04,14.04049
2014-03-05,12.46822
2014-03-06,11.24222
2014-03-07,11.74872
2014-03-10,10.12273
2014-03-11,8.49199
2014-03-12,6.29393
2014-03-13,5.95507
2014-03-14,6.13969
2014-03-17,5.03682
2014-03-18,8.26482
2014-03-19,8.04635
2014-03-20,7.80878
2014-03-21,7.02280
2014-03-24,5.81703
2014-03-25,3.82331
2014-03-26,4.22667
2014-03-27,4.12382
2014-03-28,.
2014-03-31,4.60350
2014-04-01,2.53008
2014-04-02,4.82004
2014-04-03,7.53807
2014-04-04,9.05563
2014-04-07,7.57284
2014-04-08,8.90847
2014-04-09,9.47246
2014-04-10,10.62714
2014-04-11,13.64683
2014-04-14,17.23944
2014-04-15,16.87141
2014-04-16,19.68840
2014-04-17,18.78629
2014-04-18,.
2014-04-21,17.49803
2014-04-22,13.98946
2014-04-23,11.41979
2014-04-24,9.57435
2014-04-25,8.87401
2014-04-28,7.48220
2014-04-29,8.94658
2014-04-30,10.28212
2014-05-01,6.39274
2014-05-02,5.08136
2014-05-05,4.11273
2014-05-06,4.75441
2014-05-07,5.00831
2014-05-08,4.61026
2014-05-09,4.70723
2014-05-12,6.46897
2014-05-13,8.56748
2014-05-14,9.23896
2014-05-15,7.26410
2014-05-16,6.88466
2014-05-19,6.91661
2014-05-20,7.58765
2014-05-21,10.99170
2014-05-22,10.52911
2014-05-23,11.90324
2014-05-26,.
2014-05-27,10.70259
2014-05-28,10.99538
2014-05-29,11.42460
2014-05-30,12.47688
2014-06-02,10.34151
2014-06-03,10.68980
2014-06-04,10.26052
2014-06-05,8.93253
2014-06-06,7.50182
