Date,Volume
2013-08-08,22680251.1920243
2013-08-11,21766884.026353
2013-08-14,22109881.1778111
2013-08-17,21928443.6990618
2013-08-20,20904934.9972908
2013-08-23,21198997.3805306
2013-08-26,20542378.9813236
2013-08-29,21423428.664845
2013-09-01,21244257.3672135
2013-09-04,21702865.831401
2013-09-07,21891799.3746523
2013-09-10,21698423.6226398
2013-09-13,20909948.4130719
2013-09-16,20019463.6399457
2013-09-19,20606973.6831013
2013-09-22,20389515.0209655
2013-09-25,21411274.7403335
2013-09-28,21379442.097236
2013-10-01,21048807.8161795
2013-10-04,24215546.6780925
2013-10-07,23491328.3732438
2013-10-10,24537868.9345926
2013-10-13,24848791.0250973
2013-10-16,25710442.8893769
2013-10-19,26628267.6268392
2013-10-22,27911827.4436194
2013-10-25,31148445.8600834
2013-10-28,33388752.1294033
2013-10-31,35577769.435115
2013-11-03,32980717.121282
2013-11-05,36870789.4720104
2013-11-08,42474067.8410886
2013-11-11,48560304.1571642
2013-11-14,55955081.3279936
2013-11-17,62763220.431109
2013-11-20,80720173.5708189
2013-11-23,102444538.319175
2013-11-26,118607637.532696
2013-11-29,149213530.481103
2013-12-02,172162043.02054
2013-12-05,194415558.507842
2013-12-08,208036525.133402
2013-12-11,217199921.022197
2013-12-14,218089214.56619
2013-12-17,231339050.799897
2013-12-20,228594063.13947
2013-12-23,213362681.686388
2013-12-26,207018757.28655
2013-12-29,179125236.22619
2014-01-01,161309041.412213
2014-01-04,146122830.73153
2014-01-07,138738289.869469
2014-01-10,129988792.862581
2014-01-13,128046413.21954
2014-01-16,114733863.185795
2014-01-19,101955152.919183
2014-01-22,99661875.0810955
2014-01-25,94921475.838443
2014-01-28,98330306.4384685
2014-01-31,96776746.2738851
2014-02-03,89997168.9680791
2014-02-06,89277943.6023048
2014-02-09,88685397.1612114
2014-02-12,89519182.6038581
2014-02-15,87266529.1927149
2014-02-18,88976442.7342425
2014-02-21,85598657.0098767
2014-02-24,83789676.0164782
2014-02-27,85263837.5641145
2014-03-02,85494696.1127902
2014-03-05,91849649.9127965
2014-03-08,116369677.616228
2014-03-12,134918120.949697
2014-03-15,149376937.145175
2014-03-18,149536405.111683
2014-03-21,149694678.231642
2014-03-24,148205519.203222
2014-03-27,146234338.434954
2014-03-30,142326268.539713
2014-04-02,141631868.173801
2014-04-05,136821031.933793
2014-04-08,103702774.677358
2014-04-11,85661061.162787
2014-04-14,65807852.1365077
2014-04-17,66210105.2557888
2014-04-20,63136530.3691891
2014-04-23,63726531.0323049
2014-04-26,64441204.5256116
2014-04-29,60703074.1649889
2014-05-02,59334657.1546159
2014-05-05,55508292.7400152
2014-05-08,54804377.6838134
2014-05-11,49768349.8410496
2014-05-14,49117384.7519357
2014-05-17,45573485.1012791
2014-05-20,44396023.4257819
2014-05-23,44693104.511888
2014-05-26,49223510.069351
2014-05-29,52673765.8925609
2014-06-01,53702740.3583556
2014-06-04,57666438.7518271
2014-06-07,60670415.8446887
2014-06-10,61792624.6685916
2014-06-13,82725610.1995771
2014-06-16,83165872.8825547
2014-06-19,85301421.0270629
2014-06-22,83821379.5383252
2014-06-25,80889448.1463142
2014-06-28,79309646.1893436
2014-07-01,78060347.6977033
2014-07-04,78904216.4172791
2014-07-07,75132900.3562056
2014-07-10,76096048.7693129
2014-07-13,56348329.362373
2014-07-16,56054889.5896253
2014-07-19,56186948.1211066
2014-07-22,57191911.1107035
2014-07-25,54980498.7680386
2014-07-28,52776369.9246483
2014-07-31,53738732.2535066
2014-08-03,52408261.3097391
2014-08-06,55537348.8595887
2014-08-09,55705426.0490603
2014-08-12,56159864.5850328
2014-08-15,59242918.0381297
2014-08-18,59366786.0505982
2014-08-21,61051530.5910374
2014-08-24,61288632.5196746
2014-08-27,63031239.2854511
2014-08-30,67049149.3933768
2014-09-02,64159899.9802561
2014-09-05,63111794.7330448
2014-09-08,61977640.2575202
2014-09-11,62883717.5179303
2014-09-14,59887937.230499
2014-09-17,58772183.5323086
2014-09-20,59204739.0074034
2014-09-23,58361207.9448584
2014-09-26,58547275.787606
2014-09-29,53318993.1981235
2014-10-02,55399380.0120475
2014-10-05,55823774.8103032
2014-10-08,58540672.0006419
2014-10-11,60392536.9905367
2014-10-14,61549561.1562758
2014-10-17,63716296.5232159
2014-10-20,60552574.4978689
2014-10-23,61197806.7828617
2014-10-26,60872052.8322702
2014-10-29,60880538.0066091
2014-11-01,60040262.5553598
2014-11-03,57844878.5499891
2014-11-06,57155527.9271868
2014-11-09,53817881.1426555
2014-11-12,55604244.1124912
2014-11-15,59647769.6819456
2014-11-18,62591907.6211966
2014-11-21,62815091.2856679
2014-11-24,62170717.9796123
2014-11-27,64270979.6350955
2014-11-30,68266068.452122
2014-12-03,74665132.3247951
2014-12-06,77446722.042228
2014-12-09,82150961.5563219
2014-12-12,80722852.1831067
2014-12-15,75015323.1414065
2014-12-18,76191943.2989859
2014-12-21,75188708.7727015
2014-12-24,77564660.6140421
2014-12-27,75236115.3065007
2014-12-30,71101591.6656049
2015-01-02,64922962.8300541
2015-01-05,63506559.0911188
2015-01-08,62304660.7372011
2015-01-11,61821991.0260984
2015-01-14,66058659.4343506
2015-01-17,62757046.7857232
2015-01-20,61525943.7840032
2015-01-23,61380708.979009
2015-01-26,64029673.0324674
2015-01-29,65597257.7230675
2015-02-01,66181769.6666443
2015-02-04,63137759.4548277
2015-02-07,59619858.1839582
2015-02-10,58276945.6638364
2015-02-13,53157323.9164977
2015-02-16,52430197.0298597
2015-02-19,53089763.6086634
2015-02-22,49528399.1210429
2015-02-25,47167727.5865769
2015-02-28,44977702.6652215
2015-03-03,46452900.5694814
2015-03-06,48137966.1799872
2015-03-10,52452422.5868919
2015-03-13,55232276.4774958
2015-03-16,55001734.1893976
2015-03-19,56293363.0909168
2015-03-22,56468886.1418845
2015-03-25,57977968.6448535
2015-03-28,59238023.9020254
2015-03-31,58546444.2450121
2015-04-03,57609521.0153303
2015-04-06,54093510.6366148
2015-04-09,50614976.9625222
2015-04-12,48107505.159163
2015-04-15,48481753.0262776
2015-04-18,47086069.4613086
2015-04-21,46225912.8178251
2015-04-24,45873943.3068462
2015-04-27,44294574.6311852
2015-04-30,45772486.2941081
2015-05-03,44834748.6584355
2015-05-06,46108217.411604
2015-05-09,45614060.5782411
2015-05-12,44936270.4039145
2015-05-15,45455800.0547063
2015-05-18,44309023.4312958
2015-05-21,45225817.4790582
2015-05-24,45517159.7564287
2015-05-27,45477641.2730878
2015-05-30,45420400.4025552
2015-06-02,46194010.4756109
2015-06-05,47335247.1098611
2015-06-08,46516572.2192428
2015-06-11,48107338.9530781
2015-06-14,48229246.518689
2015-06-17,51366229.6084307
2015-06-20,56435696.5525755
2015-06-23,56132156.3995082
2015-06-26,57704675.7302144
2015-06-29,57323424.7209084
2015-07-02,59523334.2605745
2015-07-05,59899866.9934307
2015-07-08,64926778.2799289
2015-07-11,68002256.3400531
2015-07-14,70327253.3126883
2015-07-17,70658139.2856004
2015-07-20,65766396.1320341
2015-07-23,67206934.1640675
2015-07-26,68136753.6446345
2015-07-29,69867751.6548559
2015-08-01,69140073.6038104
2015-08-04,68858445.5669263
2015-08-07,66359226.4916135
2015-08-10,65890547.1685078
2015-08-13,65818298.563728
2015-08-16,66313935.4769232
2015-08-19,70276334.1625448
2015-08-22,72782637.4096895
2015-08-25,73752078.5288709
2015-08-28,75131195.2391191
2015-08-31,74371497.1785496
2015-09-03,75829522.3248429
2015-09-06,74644986.1439717
2015-09-09,73030110.9816267
2015-09-12,72704317.474772
2015-09-15,70244190.2809972
2015-09-18,67572659.2976196
2015-09-21,65324515.9040358
2015-09-24,65593531.949277
2015-09-27,63767344.8402605
2015-09-30,64889216.7913434
2015-10-03,66006982.0129823
2015-10-06,65560011.9840017
2015-10-09,68381944.4589801
2015-10-12,66824730.3539126
2015-10-15,70322964.0497493
2015-10-18,73028656.0776275
2015-10-21,75050793.1999466
2015-10-24,76885908.5170594
2015-10-27,80427814.3635626
2015-10-30,87207685.2205429
2015-11-01,93773360.0373279
2015-11-04,119289160.465347
2015-11-07,131998361.470849
2015-11-10,144648238.314911
2015-11-13,153921926.659654
2015-11-16,160047330.772025
2015-11-19,166293452.22547
2015-11-22,167070696.977479
2015-11-25,167617988.819078
2015-11-28,168594097.823965
2015-12-01,168755150.46039
2015-12-04,153869071.977646
2015-12-07,152663659.625721
2015-12-10,155202094.761132
2015-12-13,157470031.742525
2015-12-16,165151574.853548
2015-12-19,170370841.328925
2015-12-22,180891093.584693
2015-12-25,189444519.221307
2015-12-28,188614763.869168
2015-12-31,183768759.783373
2016-01-03,173954584.255347
2016-01-06,162922951.746161
2016-01-09,154262074.847252
2016-01-12,145258495.256713
2016-01-15,135357609.126061
2016-01-18,124777087.005401
2016-01-21,116802866.229232
2016-01-24,109577922.756852
2016-01-27,112744397.483718
2016-01-30,118163662.85923
2016-02-02,127557603.088343
2016-02-05,131995809.133933
2016-02-08,130742861.531799
2016-02-11,133275116.675663
2016-02-14,132449426.503168
2016-02-17,140868766.338151
2016-02-20,144392336.218597
2016-02-23,150216887.644553
2016-02-26,149462179.598166
2016-02-29,154079514.867387
2016-03-03,164319099.449261
2016-03-06,167303060.714186
2016-03-09,169870127.911505
2016-03-12,169351762.66219
2016-03-16,168792194.705991
2016-03-19,164207884.56038
2016-03-22,157478344.024268
2016-03-25,154134353.926305
2016-03-28,150192725.109803
2016-03-31,144439728.695188
2016-04-03,131612583.628366
2016-04-06,126811674.290819
2016-04-09,129568456.586738
2016-04-12,127996941.869486
2016-04-15,130041841.439233
2016-04-18,127417070.757349
2016-04-21,130812881.709811
2016-04-24,130322847.190209
2016-04-27,132991750.964866
2016-04-30,134142017.955485
2016-05-03,131852204.375317
2016-05-06,135381170.308558
2016-05-09,130046681.229784
2016-05-12,132825274.695748
2016-05-15,132391366.96384
2016-05-18,134715131.038233
2016-05-21,137634332.169139
2016-05-24,134698229.217734
2016-05-27,135993068.324144
2016-05-30,146071415.088702
2016-06-02,157884342.966676
2016-06-05,158065521.709226
2016-06-08,164230265.057088
2016-06-11,170638889.081335
2016-06-14,182704105.469407
2016-06-17,200905222.54962
2016-06-20,207363566.51922
2016-06-23,227252086.155593
2016-06-26,232764535.626843
2016-06-29,225605105.555336
2016-07-02,224501908.68384
2016-07-05,224659372.273909
2016-07-08,227711776.545278
2016-07-11,221711464.493874
2016-07-14,214602551.174084
2016-07-17,199630132.436334
2016-07-20,194330521.701359
2016-07-23,179683236.40503
2016-07-26,170622083.981187
2016-07-29,169487577.963099
2016-08-01,161962956.977782
2016-08-04,168348777.646517
2016-08-07,164026588.48571
2016-08-10,164106511.48587
2016-08-13,163079466.407711
2016-08-16,158657715.193954
2016-08-19,157819847.127452
2016-08-22,153821629.078408
2016-08-25,157207187.042541
2016-08-28,152113041.552261
2016-08-31,151238632.54218
2016-09-03,143316589.033403
2016-09-06,139102825.49451
2016-09-09,138871503.135945
2016-09-12,133480459.110009
2016-09-15,135576183.546334
2016-09-18,130303730.773297
2016-09-21,131152746.197861
2016-09-24,128353154.075339
2016-09-27,129742837.074684
2016-09-30,132043043.325068
2016-10-03,128938486.654138
2016-10-06,132950797.39291
2016-10-09,132740375.129104
2016-10-12,136211843.413974
2016-10-15,139844845.124648
2016-10-18,142478724.420384
2016-10-21,148165381.663622
2016-10-24,147638610.712558
2016-10-27,151067414.557756
2016-10-30,156040461.743851
2016-11-02,162546943.684622
2016-11-05,166031563.175998
2016-11-07,165574056.035017
2016-11-10,171893007.134473
2016-11-13,167992367.596938
2016-11-16,175118168.501461
2016-11-19,176765189.681613
2016-11-22,182181054.33496
2016-11-25,186916099.282021
2016-11-28,184058660.81172
2016-12-01,186543828.009654
2016-12-04,183571903.117618
2016-12-07,191074179.330025
2016-12-10,189162123.926071
2016-12-13,193794660.441411
2016-12-16,195240457.341599
2016-12-19,194103244.739968
2016-12-22,206213551.690532
2016-12-25,211055532.98037
2016-12-28,224527250.486017
2016-12-31,231725313.055636
2017-01-03,241870425.691602
2017-01-06,269040085.790132
2017-01-09,275382871.877146
2017-01-12,290881651.558785
2017-01-15,287424754.079731
2017-01-18,293819282.130523
2017-01-21,285986367.63928
2017-01-24,280831111.578162
2017-01-27,272350053.388262
2017-01-30,257444517.397097
2017-02-02,254472989.821499
2017-02-05,228660091.210887
2017-02-08,227794148.614539
2017-02-11,221905698.818077
2017-02-14,221223546.154189
2017-02-17,218817174.361814
2017-02-20,214616715.924688
2017-02-23,218965736.280157
2017-02-26,223962661.008459
2017-03-01,237510140.427199
2017-03-04,251398384.049415
2017-03-07,257454793.399831
2017-03-10,262508610.09041
2017-03-14,260463193.237541
2017-03-17,282379518.771361
2017-03-20,299329447.508782
2017-03-23,315108799.319021
2017-03-26,323765385.052916
2017-03-29,328828495.624014
2017-04-01,338127648.527461
2017-04-04,331319866.85471
2017-04-07,339091364.578424
2017-04-10,336658475.335378
2017-04-13,342883351.163553
2017-04-16,333751884.704991
2017-04-19,325608954.417032
2017-04-22,324057844.686351
2017-04-25,313042389.397592
2017-04-28,319709817.691855
2017-05-01,318922179.743814
2017-05-04,334301759.924679
2017-05-07,354536765.844201
2017-05-10,391488362.550117
2017-05-13,427216755.432087
2017-05-16,449136306.314772
2017-05-19,490712185.252139
2017-05-22,526561446.88957
2017-05-25,604000142.645419
2017-05-28,666333281.030412
2017-05-31,698886299.681299
2017-06-03,736714555.765648
2017-06-06,754596404.875676
2017-06-09,777393177.143212
2017-06-12,777047634.710734
2017-06-15,809322226.798038
2017-06-18,797675943.521094
2017-06-21,790773138.347645
2017-06-24,759295475.912864
2017-06-27,713224794.97884
2017-06-30,713360256.98632
2017-07-03,687951768.382309
2017-07-06,676346064.823871
2017-07-09,649882765.662267
2017-07-12,652067899.738193
2017-07-15,617262156.268807
2017-07-18,604298097.240524
2017-07-21,605007218.51845
2017-07-24,589994782.675966
2017-07-27,603070553.436695
2017-07-30,638395695.206449
2017-08-02,722111085.450133
2017-08-05,777880779.440767
2017-08-08,829815977.523767
2017-08-11,860441107.1512
2017-08-14,903039857.390185
2017-08-17,956120852.954204
2017-08-20,1020730464.73831
2017-08-23,1047124822.6313
2017-08-26,1065240067.2964
2017-08-29,1041230677.97516
2017-09-01,1009701562.49601
2017-09-04,989374817.758219
2017-09-07,1014595258.79538
2017-09-10,1018877224.48064
2017-09-13,1012907584.49685
2017-09-16,1023014985.94
2017-09-19,967003080.562355
2017-09-22,963280608.540478
2017-09-25,929461808.461418
2017-09-28,932628959.504815
2017-10-01,896368251.932511
2017-10-04,866667083.757323
2017-10-07,800678050.441187
2017-10-10,774596534.278025
2017-10-13,791434656.05998
2017-10-16,792269884.293807
2017-10-19,842866523.000145
2017-10-22,882329209.55978
2017-10-25,1015710153.66805
2017-10-28,1103291348.16345
2017-10-31,1149861321.498
2017-11-03,1275948369.72489
2017-11-05,1351525972.75311
2017-11-08,1451498967.36334
2017-11-11,1540776950.29258
2017-11-14,1623402853.52377
2017-11-17,1748069463.4636
2017-11-20,1829545045.10035
2017-11-23,1881942283.99615
2017-11-26,1954618906.92092
2017-11-29,2197712902.6847
2017-12-02,2266704849.01158
2017-12-05,2363064751.66726
2017-12-08,2633944168.75355
2017-12-11,2836788611.06175
2017-12-14,3111246137.37305
2017-12-17,3291206839.75846
2017-12-20,3567336514.36811
2017-12-23,3671806978.6457
2017-12-26,3699977826.78853
2017-12-29,3737650466.27409
2018-01-01,3792210507.79886
2018-01-04,3887639399.67716
2018-01-07,3884795296.8727
2018-01-10,3879470754.34027
2018-01-13,3726620194.19728
2018-01-16,3591321373.56241
2018-01-19,3391828126.62054
2018-01-22,3271236501.77954
2018-01-25,3203345997.21373
2018-01-28,3005827215.22193
2018-01-31,2862663105.05495
2018-02-03,2753166066.89723
2018-02-06,2492209883.86717
2018-02-09,2269638298.09492
2018-02-12,2063416274.54263
2018-02-15,1901834426.5704
2018-02-18,1721235589.59442
2018-02-21,1643496225.97326
2018-02-24,1641027117.39875
2018-02-27,1546856308.7695
2018-03-02,1554155814.86221
2018-03-05,1445965134.95779
2018-03-08,1405570576.18535
2018-03-12,1365692682.68686
2018-03-15,1384105621.04562
2018-03-18,1350492676.27234
2018-03-21,1354240279.47287
2018-03-24,1309105493.9603
2018-03-27,1193518415.26873
2018-03-30,1181180636.62563
2018-04-02,1077495155.44319
2018-04-05,1040177331.63327
2018-04-08,966348655.433789
2018-04-11,910372751.264093
2018-04-14,896432031.17589
2018-04-17,865922490.12446
2018-04-20,872625025.210007
2018-04-23,865857160.790456
2018-04-26,934830182.658562
2018-04-29,980571240.359264
2018-05-02,999685520.34688
2018-05-05,1050919036.69882
2018-05-08,1090627480.69546
2018-05-11,1148647820.86907
2018-05-14,1128327059.41581
2018-05-17,1207692460.45732
2018-05-20,1246919291.42117
2018-05-23,1228075100.96927
2018-05-26,1169617423.59423
2018-05-29,1088664285.23729
2018-06-01,1078978855.70454
2018-06-04,1005460944.72474
2018-06-07,971816479.296916
2018-06-10,913276640.80456
2018-06-13,901126114.637741
2018-06-16,846648022.162309
